ProblemName,Seed,T_combined,T_confgraph,T_dualproof,T_noLPinf,N_combined,N_confgraph,N_dualproof,N_noLPinf,DI_combined,DI_confgraph,DI_dualproof,DI_noLPinf,Gap_combined,Gap_confgraph,Gap_dualproof,Gap_noLPinf,GapQ_combined,GapQ_confgraph,GapQ_dualproof,GapQ_noLPinf,TQ_combined,TQ_confgraph,TQ_dualproof,TQ_noLPinf,NQ_combined,NQ_confgraph,NQ_dualproof,NQ_noLPinf,DIQ_combined,DIQ_confgraph,DIQ_dualproof,DIQ_noLPinf
30n20b8,0,149.68,150.59,268.76,270.17,171,171,225,314,8157.48127384106,8207.461766887418,13723.922474172185,13790.30628940397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5540215419920791,0.5573897916126883,0.9947810637746604,1.0,0.5445859872611465,0.5445859872611465,0.7165605095541401,1.0,0.5915373525901312,0.5951616733265576,0.9951861971852799,1.0
30n20b8,1,623.6,544.01,1228.78,2040.89,1999,1286,3940,7991,24175.587104304643,20651.694382450332,43280.980947019874,70776.09299006624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055529695377997,0.2665552773544875,0.6020804648952173,1.0,0.2501564259792266,0.1609310474283569,0.49305468652233764,1.0,0.34157843535807775,0.2917891269492496,0.6115197818717482,1.0
30n20b8,2,693.56,1350.91,7200.0,7200.0,3499,3345,33226,61015,33380.86676655629,68973.84658609272,362575.12785099336,273174.31320529804,0.0,0.0,133.77,74.75,0.0,0.0,1.7895652173913046,1.0,0.09632777777777778,0.1876263888888889,1.0,1.0,0.05734655412603458,0.05482258461034172,0.5445546177169548,1.0,0.12219621374675022,0.2524902351790923,1.3272665485883666,1.0
50v-10,0,7200.0,7200.0,7200.0,7200.0,829421,1050474,862668,1029819,11838.127931802672,11045.49224524896,12173.639165059281,12121.080552771307,1.69,1.28,1.57,1.43,1.1818181818181819,0.8951048951048952,1.097902097902098,1.0,1.0,1.0,1.0,1.0,0.805404639067642,1.020056922624267,0.8376889531072936,1.0,0.9766561553867454,0.9112630014428517,1.0043361325798597,1.0
50v-10,1,7200.0,7200.0,7200.0,7200.0,867997,914227,1070962,1066193,10623.056822917131,11349.775721181446,11042.040949923772,11372.097310570993,1.15,1.27,1.29,1.33,0.8646616541353382,0.9548872180451128,0.9699248120300752,1.0,1.0,1.0,1.0,1.0,0.8141087026457686,0.8574685821422575,1.0044729237577061,1.0,0.9341334788827751,0.9980371615912222,0.9709766499851865,1.0
50v-10,2,7200.0,7200.0,7200.0,7200.0,833134,989821,1081273,1064237,10830.810815538305,11568.08899725558,10924.896085596663,12080.31996873538,1.37,1.48,1.26,1.53,0.8954248366013072,0.9673202614379085,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,0.7828463020924851,0.9300757256137495,1.0160077125677833,1.0,0.8965665515126352,0.9575978970088965,0.9043548609532672,1.0
CMS750_4,0,185.73,192.32,7200.0,7200.0,2028,2622,418086,545243,236.69047619047618,241.9206349206349,3801.502099206347,3921.154311507935,0.0,0.0,0.4,0.4,0.0,0.0,1.0,1.0,0.02579583333333333,0.02671111111111111,1.0,1.0,0.003719442523792144,0.004808865038157298,0.7667883860957408,1.0,0.060362448755415986,0.06169628015164773,0.9694854619848985,1.0
CMS750_4,1,370.72,371.44,1238.9,1691.51,3254,2805,44234,63058,353.7340238095247,343.2378583333322,987.7928888888902,1328.0291547619056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21916512465193821,0.21959077983576805,0.7324225100649716,1.0,0.05160328586380792,0.044482857052237625,0.7014811760601352,1.0,0.26636013414400045,0.25845656859458727,0.7438036170719352,1.0
CMS750_4,2,473.12,505.84,363.74,1368.9,13518,12259,8870,50759,409.4761904761905,478.1124817460313,361.32119126984145,662.9109246031726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3456205712615969,0.3695229746511797,0.26571699905033236,1.0,0.26631730333536907,0.241513820209224,0.17474733544790086,1.0,0.6176941354848066,0.7212318638921751,0.545052401250037,1.0
air05,0,40.07,39.52,39.77,40.11,648,648,985,985,100.02059907484637,99.45184006976564,95.39802494881319,105.74760483809807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990027424582398,0.9852904512590377,0.9915233108950388,1.0,0.6578680203045685,0.6578680203045685,1.0,1.0,0.9458426905080274,0.9404642329443642,0.9021294155538528,1.0
