ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
beasleyC3,0,31.56,31.55,83,83,57.36058461538471,57.3949423076924,0.0,0.0,0.0,0.0,1.0003169572107764,1.0,1.0,1.0,0.9994013811857584,1.0
beasleyC3,1,17.35,17.35,2,2,52.69888328912467,51.52228315649868,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0228367234629738,1.0
beasleyC3,2,47.2,47.0,453,453,60.5070464190982,60.598953580901906,0.0,0.0,0.0,0.0,1.0042553191489363,1.0,1.0,1.0,0.9984833539793554,1.0
binkar10_1,0,31.34,30.74,2560,2538,16.530218892167426,16.20400859760435,0.0,0.0,0.0,0.0,1.0195185426154847,1.0,1.0086682427107958,1.0,1.0201314565218944,1.0
binkar10_1,1,29.22,29.1,2246,2233,11.699173704422169,16.57083117016748,0.0,0.0,0.0,0.0,1.0041237113402062,1.0,1.005821764442454,1.0,0.7060100718112576,1.0
binkar10_1,2,28.71,28.98,2509,2529,16.276617190935752,11.430172008337992,0.0,0.0,0.0,0.0,0.9906832298136646,1.0,0.9920917358639778,1.0,1.4240045713277467,1.0
blp-ar98,0,7200.0,7200.0,238231,237752,5967.561744100082,5948.326117730805,0.27,0.27,1.0,1.0,1.0,1.0,1.00201470439786,1.0,1.003233788126031,1.0
blp-ar98,1,7200.0,7200.0,207500,208073,6377.591394602854,6374.465140169227,0.33,0.33,1.0,1.0,1.0,1.0,0.9972461588000365,1.0,1.0004904339995409,1.0
blp-ar98,2,7200.0,7200.0,229423,228758,6415.845105888979,6463.696662385798,0.32,0.32,1.0,1.0,1.0,1.0,1.0029070021594872,1.0,0.9925968746684414,1.0
blp-ic98,0,7200.0,7200.0,304769,309577,7237.063331242014,7215.8144703311045,1.38,1.38,1.0,1.0,1.0,1.0,0.9844691304586581,1.0,1.0029447626457522,1.0
blp-ic98,1,7200.0,7200.0,254061,255635,7539.775927701681,7530.515337293216,2.41,2.41,1.0,1.0,1.0,1.0,0.9938427836563851,1.0,1.001229741922522,1.0
blp-ic98,2,7200.0,7200.0,278188,281142,7134.770132576666,7118.924899237124,2.11,2.11,1.0,1.0,1.0,1.0,0.9894928541448805,1.0,1.00222579020903,1.0
bnatt400,0,970.91,972.47,6821,6821,97091.0,97247.0,0.0,0.0,0.0,0.0,0.9983958374037245,1.0,1.0,1.0,0.9983958374037245,1.0
bnatt400,1,1105.02,1101.7,6346,6346,110502.0,110170.0,0.0,0.0,0.0,0.0,1.0030135245529634,1.0,1.0,1.0,1.0030135245529637,1.0
bnatt400,2,745.15,743.69,5500,5500,74515.0,74369.0,0.0,0.0,0.0,0.0,1.001963183584558,1.0,1.0,1.0,1.0019631835845582,1.0
bnatt500,0,4368.17,4372.13,29526,29526,436817.0,437213.0,0.0,0.0,0.0,0.0,0.9990942629793717,1.0,1.0,1.0,0.9990942629793717,1.0
bnatt500,1,6333.06,6325.95,38962,38962,633306.0,632595.0,0.0,0.0,0.0,0.0,1.0011239418585351,1.0,1.0,1.0,1.0011239418585351,1.0
bnatt500,2,4996.9,4992.95,29029,29029,499689.99999999994,499295.0,0.0,0.0,0.0,0.0,1.0007911154728166,1.0,1.0,1.0,1.0007911154728166,1.0
bppc4-08,0,7200.0,7200.0,797503,800013,13614.33962264151,13614.33962264151,1.92,1.92,1.0,1.0,1.0,1.0,0.9968625509835465,1.0,1.0,1.0
bppc4-08,1,7200.0,7200.0,938927,886475,13609.433962264151,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.0591691813079895,1.0,1.0,1.0
bppc4-08,2,7200.0,7200.0,793397,817145,13609.452830188678,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,0.9709378384497244,1.0,1.0000013863856925,1.0
brazil3,0,3360.46,3363.06,2570,2570,19964.97339208332,19988.66027187499,0.0,0.0,0.0,0.0,0.9992268945543642,1.0,1.0,1.0,0.9988149841225229,1.0
brazil3,1,4252.19,4255.44,2347,2347,100252.26529645834,100326.91659708333,0.0,0.0,0.0,0.0,0.999236271689884,1.0,1.0,1.0,0.9992559195163468,1.0
brazil3,2,3785.08,3795.74,3302,3302,4574.0625,4580.052083333333,0.0,0.0,0.0,0.0,0.9971915884649634,1.0,1.0,1.0,0.9986922455849074,1.0
buildingenergy,0,7200.0,7200.0,96,95,18993.32567985296,19093.200238271227,0.13,0.13,1.0,1.0,1.0,1.0,1.0105263157894737,1.0,0.994769103284316,1.0
buildingenergy,1,7200.0,7200.0,85,85,18244.78742705254,18245.364384397588,0.15,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.9999683778666792,1.0
buildingenergy,2,7200.0,7200.0,12,12,19044.35943501013,19093.43228113461,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,0.9974298572722848,1.0
