ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-nnzcancel,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-nnzcancel,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-nnzcancel,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-nnzcancel,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-nnzcancel,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-nnzcancel,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-nnzcancel,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-nnzcancel
nw04,1,31.39,31.4,5,5,905.755435298304,910.6395504685091,0.0,0.0,0.0,0.0,0.9996815286624204,1.0,1.0,1.0,0.9946366098774291,1.0
nw04,2,35.16,35.2,6,6,905.485449531491,905.5863806191437,0.0,0.0,0.0,0.0,0.9988636363636362,1.0,1.0,1.0,0.9998885461510765,1.0
opm2-z10-s4,0,7200.0,7200.0,1000,1010,168379.20097028537,168053.23361942047,24.7,24.7,1.0,1.0,1.0,1.0,0.9900990099009901,1.0,1.001939667234271,1.0
opm2-z10-s4,1,7200.0,7200.0,586,580,174546.2259448928,174870.6289648653,27.76,27.76,1.0,1.0,1.0,1.0,1.0103448275862068,1.0,0.9981448970482192,1.0
opm2-z10-s4,2,7200.0,7200.0,1015,1011,168063.3588238454,168151.75802088281,26.96,26.96,1.0,1.0,1.0,1.0,1.0039564787339268,1.0,0.9994742891892546,1.0
p200x1188c,0,3.53,3.51,2,2,85.77797088473272,85.66904927709245,0.0,0.0,0.0,0.0,1.0056980056980056,1.0,1.0,1.0,1.001271423093397,1.0
p200x1188c,1,3.96,4.76,3,2,91.45124419684309,93.10680163151612,0.0,0.0,0.0,0.0,0.8319327731092437,1.0,1.5,1.0,0.9822187272501837,1.0
p200x1188c,2,3.62,3.62,2,2,87.21829188221248,88.04771421939249,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9905798538379622,1.0
peg-solitaire-a3,0,7200.0,7200.0,5752,5760,250.0,250.0,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9986111111111111,1.0,1.0,1.0
peg-solitaire-a3,1,7200.0,7200.0,3557,3566,250.0,250.0,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9974761637689288,1.0,1.0,1.0
peg-solitaire-a3,2,7200.0,7200.0,3969,3965,270.0,270.0,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0010088272383355,1.0,1.0,1.0
pg,0,101.85,113.1,2687,3604,414.55623662628653,422.6299993448421,0.0,0.0,0.0,0.0,0.9005305039787799,1.0,0.7455604883462819,1.0,0.9808963804484504,1.0
