ProblemName,Seed,T_combined,T_combined-no-filtering,N_combined,N_combined-no-filtering,DI_combined,DI_combined-no-filtering,Gap_combined,Gap_combined-no-filtering,GapQ_combined,GapQ_combined-no-filtering,TQ_combined,TQ_combined-no-filtering,NQ_combined,NQ_combined-no-filtering,DIQ_combined,DIQ_combined-no-filtering
30n20b8,1,623.6,582.65,1999,1959,24175.587104304643,22788.225331125832,0.0,0.0,0.0,0.0,1.0702823307302842,1.0,1.0204185809086268,1.0,1.060880641340853,1.0
30n20b8,2,693.56,659.88,3499,3242,33380.86676655629,33806.10571291391,0.0,0.0,0.0,0.0,1.0510395829544765,1.0,1.079272054287477,1.0,0.9874212383417125,1.0
air05,0,40.07,40.5,648,597,100.02059907484637,105.26611814665957,0.0,0.0,0.0,0.0,0.9893827160493828,1.0,1.085427135678392,1.0,0.950168970185592,1.0
air05,1,36.54,40.16,716,674,94.20627056950015,97.91087207097887,0.0,0.0,0.0,0.0,0.9098605577689244,1.0,1.0623145400593472,1.0,0.9621635327811897,1.0
air05,2,30.22,38.17,282,417,87.80452756502615,97.16923181921592,0.0,0.0,0.0,0.0,0.7917212470526591,1.0,0.6762589928057554,1.0,0.9036247989321057,1.0
beasleyC3,2,47.2,45.8,453,461,60.5070464190982,60.232341511936355,0.0,0.0,0.0,0.0,1.0305676855895198,1.0,0.982646420824295,1.0,1.0045607542437547,1.0
brazil3,0,3360.46,7200.0,2570,3691,19964.97339208332,20826.310775416656,0.0,58.33,0.0,1.0,0.46673055555555554,1.0,0.6962882687618531,1.0,0.9586418644847048,1.0
brazil3,1,4252.19,7200.0,2347,4714,100252.26529645834,152533.95173395833,0.0,66.63,0.0,1.0,0.5905819444444443,1.0,0.4978786593126856,1.0,0.6572455781602843,1.0
brazil3,2,3785.08,2726.35,3302,1732,4574.0625,4020.052083333333,0.0,0.0,0.0,0.0,1.3883323857905259,1.0,1.9064665127020786,1.0,1.1378117509878862,1.0
cost266-UUE,0,4923.15,5067.55,375684,431331,18442.076416295735,18108.02321260086,0.0,0.0,0.0,0.0,0.9715049678838885,1.0,0.8709877101344443,1.0,1.0184478007219704,1.0
cost266-UUE,1,3728.83,3361.61,294630,257227,13227.091766782543,12566.122584615136,0.0,0.0,0.0,0.0,1.10923932282448,1.0,1.1454085302087262,1.0,1.0525992944694524,1.0
cost266-UUE,2,4067.72,4827.79,306702,427959,15450.64854860508,18881.931813124433,0.0,0.0,0.0,0.0,0.8425635746376706,1.0,0.716662110155412,1.0,0.8182768956863651,1.0
csched007,0,2327.77,2423.01,187288,170977,16205.184854415957,16719.959693162393,0.0,0.0,0.0,0.0,0.9606935175669931,1.0,1.0953987963293308,1.0,0.9692119569548393,1.0
csched007,1,2613.95,3761.6,220934,303028,16818.595935897436,23125.235310541302,0.0,0.0,0.0,0.0,0.6949037643555933,1.0,0.7290877410668322,1.0,0.7272832345291174,1.0
csched007,2,3393.08,3193.45,247755,251998,21171.48683076923,20074.54433903134,0.0,0.0,0.0,0.0,1.0625123299253159,1.0,0.9831625647822602,1.0,1.0546434565692773,1.0
csched008,2,5772.95,2824.43,546382,262789,3644.5367774566475,2422.781341040467,0.0,0.0,0.0,0.0,2.043934528382718,1.0,2.079166175144317,1.0,1.5042780442957746,1.0
