ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-update,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-update,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-update,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-update,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-update,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-update,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-update,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-update
supportcase26,1,5238.22,3371.98,6761735,4347822,42136.51904782413,29769.177250333,0.0,0.0,0.0,0.0,1.5534552399480424,1.0,1.555200511888481,1.0,1.4154411690149342,1.0
supportcase26,2,4487.28,5922.38,5497025,7264783,39451.952276387834,51779.617018780526,0.0,0.0,0.0,0.0,0.7576818778936846,1.0,0.7566674737566146,1.0,0.7619205113486754,1.0
supportcase33,0,1598.38,1568.43,12756,13263,20589.541389960836,20326.452320364227,0.0,0.0,0.0,0.0,1.0190955286496688,1.0,0.9617733544446958,1.0,1.0129431868114551,1.0
supportcase33,1,1600.98,1615.24,7176,7176,23597.50395015502,23825.202284797582,0.0,0.0,0.0,0.0,0.9911715905995394,1.0,1.0,1.0,0.9904429632151391,1.0
supportcase33,2,682.16,680.69,3786,3786,9453.6831174386,9436.00798048469,0.0,0.0,0.0,0.0,1.0021595733740762,1.0,1.0,1.0,1.0018731583303517,1.0
supportcase40,0,786.5,782.31,6335,6335,1835.499252353049,1825.6178191589772,0.0,0.0,0.0,0.0,1.0053559330700106,1.0,1.0,1.0,1.0054126515913522,1.0
supportcase40,1,946.94,946.22,7991,7931,2192.5045664375266,2195.3708424115384,0.0,0.0,0.0,0.0,1.0007609224070513,1.0,1.007565250283697,1.0,0.9986944000901172,1.0
supportcase40,2,797.74,801.52,6970,6970,1829.2187627862638,1838.1142817326925,0.0,0.0,0.0,0.0,0.9952839604750974,1.0,1.0,1.0,0.9951605191065469,1.0
supportcase42,0,7200.0,7200.0,305571,405169,771.9130216121389,753.9738405555943,0.38,0.12,3.166666666666667,1.0,1.0,1.0,0.7541815884235961,1.0,1.023792842790574,1.0
supportcase42,1,7200.0,7200.0,380155,467910,785.1248148614027,788.0053946698786,0.1,0.12,0.8333333333333334,1.0,1.0,1.0,0.8124532495565386,1.0,0.9963444668932976,1.0
